date,amount,month,quarter,year,week_of_year,week_of_month,lag_1,lag_2,lag_4,rolling_mean_4,rolling_std_4,rolling_mean_8,rolling_std_8,rolling_mean_12,rolling_std_12,pct_change
2022-03-13,90.0,3,1,2022,10,2,110.0,472.0,710.22,416.805,248.33835540783167,337.89,227.91509747522846,392.01,251.3901670891102,-0.18181818181818177
2022-03-20,790.0,3,1,2022,11,3,90.0,110.0,375.0,261.75,191.0992325119767,310.265,244.43471129468153,351.5933333333333,258.19122474114636,7.777777777777779
2022-03-27,135.0,3,1,2022,12,4,790.0,90.0,472.0,365.5,333.028026848592,343.2775,291.0981455380888,388.9266666666667,287.4136761892271,-0.8291139240506329
2022-04-03,1160.2,4,2,2022,13,1,135.0,790.0,110.0,281.25,339.66588976031505,353.2775,280.978522908272,383.0933333333333,292.1572169952748,7.594074074074074
2022-04-10,320.0,4,2,2022,14,2,1160.2,135.0,90.0,543.8,520.7735528359069,480.3025,383.7570951135628,406.52666666666664,342.4903621559252,-0.7241854852611619
2022-04-17,340.0,4,2,2022,15,3,320.0,1160.2,790.0,601.3,463.5163715195683,431.52500000000003,375.05950670717397,407.27666666666664,342.27194130699706,0.0625
2022-04-24,1012.9,4,2,2022,16,4,340.0,320.0,135.0,488.8,457.0146897712003,427.15000000000003,376.01596850589823,391.785,340.61784153612257,1.9791176470588234
2022-05-01,35.0,5,2,2022,17,1,1012.9,340.0,1160.2,708.275,440.99000272114984,494.76250000000005,429.9893684316925,471.60999999999996,365.8267092490649,-0.9654457498272287
2022-05-08,1110.0,5,2,2022,18,2,35.0,1012.9,320.0,426.975,414.7130765159608,485.38750000000005,440.2713852597867,462.52666666666664,375.91474974891287,30.714285714285715
2022-05-15,470.0,5,2,2022,19,3,1110.0,35.0,340.0,624.475,521.2214204794986,612.8875,456.7950069701477,495.8416666666667,415.49334850453994,-0.5765765765765766
2022-05-22,82.0,5,2,2022,20,4,470.0,1110.0,1012.9,656.975,501.24072975633806,572.8875,453.06570774636475,503.7583333333334,413.88348702664285,-0.825531914893617
2022-05-29,267.0,5,2,2022,21,5,82.0,470.0,35.0,424.25,496.98985569794723,566.2625,460.7065534511716,471.2583333333334,431.5396799586195,2.2560975609756095
