date,amount,month,quarter,year,week_of_year,week_of_month,lag_1,lag_2,lag_4,rolling_mean_4,rolling_std_4,rolling_mean_8,rolling_std_8,rolling_mean_12,rolling_std_12,pct_change
2021-03-14,1795.0,3,1,2021,10,2,3439.0,115.0,454.84,1045.96,1602.2194126897855,818.77,1110.5503310649956,688.7641666666667,947.1068357079351,-0.47804594358825236
2021-03-21,16254.0,3,1,2021,11,3,1795.0,3439.0,175.0,1381.0,1577.334460410981,941.105,1162.9117677745683,737.93,990.6547673680734,8.055153203342618
2021-03-28,220.0,3,1,2021,12,4,16254.0,1795.0,115.0,5400.75,7361.659340800822,2847.855,5540.271610378993,2068.2633333333333,4573.696646694868,-0.9864648701858004
2021-04-04,914.0,4,2,2021,13,1,220.0,16254.0,3439.0,5427.0,7336.673769495274,2812.855,5558.078617361528,2080.7633333333333,4567.940227835604,3.1545454545454543
2021-04-11,490.0,4,2,2021,14,2,914.0,220.0,1795.0,4795.75,7665.973840071897,2920.855,5504.863252192815,2144.43,4543.84404210996,-0.4638949671772429
2021-04-18,725.0,4,2,2021,15,3,490.0,914.0,16254.0,4469.5,7861.524258479819,2925.25,5502.626742877312,2117.2366666666667,4553.481127799284,0.47959183673469385
2021-04-25,4034.0,4,2,2021,16,4,725.0,490.0,220.0,587.25,300.03930298102586,2994.0,5466.67462252615,2094.32,4560.301996347491,4.564137931034483
2021-05-02,2203.0,5,2,2021,17,1,4034.0,725.0,914.0,1540.75,1671.1906683559491,3483.875,5346.091481166404,2388.82,4562.09318501935,-0.45389191869112544
2021-05-09,1309.0,5,2,2021,18,2,2203.0,4034.0,490.0,1863.0,1633.9128903749236,3329.375,5365.398718708078,2568.2366666666667,4503.713644553051,-0.4058102587380844
2021-05-16,365.0,5,2,2021,19,3,1309.0,2203.0,725.0,2067.75,1444.8887788799996,3268.625,5387.957575861721,2639.4166666666665,4473.926838478766,-0.721161191749427
2021-05-23,45.0,5,2,2021,20,4,365.0,1309.0,4034.0,1977.75,1562.8063166411046,1282.5,1279.7400405662743,2655.25,4464.73910721047,-0.8767123287671232
2021-05-30,1339.0,5,2,2021,21,5,45.0,365.0,2203.0,980.5,975.7764429758857,1260.625,1301.8017116398985,2649.4166666666665,4468.403974948251,28.755555555555556
2021-06-06,240.0,6,2,2021,22,1,1339.0,45.0,1309.0,764.5,659.2447699198474,1313.75,1294.2857655313765,2474.4166666666665,4475.785608204001,-0.8207617625093353
2021-06-13,310.0,6,2,2021,23,2,240.0,1339.0,365.0,497.25,576.408636877236,1282.5,1319.7830990626555,2344.8333333333335,4519.540741618723,0.29166666666666674
2021-06-20,4199.0,6,2,2021,24,3,310.0,240.0,45.0,483.5,581.2506630820648,1230.625,1352.5749979206323,1016.1666666666666,1135.3854638470366,12.54516129032258
2021-06-27,5729.0,6,2,2021,25,4,4199.0,310.0,1339.0,1522.0,1854.0303845047067,1251.25,1401.7921947074951,1347.75,1425.6506728189377,0.36437246963562764
2021-07-04,420.0,7,3,2021,26,1,5729.0,4199.0,240.0,2619.5,2778.466063616158,1692.0,2116.1110556868225,1749.0,1893.348932927626,-0.9266887764007681
2021-07-11,360.0,7,3,2021,27,2,420.0,5729.0,310.0,2664.5,2728.0824156661156,1580.875,2161.943136393739,1743.1666666666667,1897.6833643985894,-0.1428571428571429
2021-07-18,105.0,7,3,2021,28,3,360.0,420.0,4199.0,2677.0,2713.7751073612076,1580.25,2162.3455353587024,1712.75,1918.2996317762056,-0.7083333333333333
2021-07-25,45.0,7,3,2021,29,4,105.0,360.0,5729.0,1653.5,2720.429929257507,1587.75,2156.3556392342016,1385.3333333333333,1818.8119665586566,-0.5714285714285714
2021-08-01,235.0,8,3,2021,30,1,45.0,105.0,420.0,232.5,185.13508581575334,1426.0,2225.11585573169,1205.5,1837.2083813121567,4.222222222222222
2021-08-08,170.0,8,3,2021,31,2,235.0,45.0,360.0,186.25,140.3789514136876,1425.375,2225.4972437958345,1116.0,1857.7531884216771,-0.276595744680851
2021-08-15,140.0,8,3,2021,32,3,170.0,235.0,105.0,138.75,81.99339404289371,1407.875,2236.0462835421936,1099.75,1865.7550811205826,-0.17647058823529416
2021-08-22,300.0,8,3,2021,33,4,140.0,170.0,45.0,147.5,79.00421929665033,900.5,1955.1037239564992,1107.6666666666667,1861.0684288788782,1.1428571428571428
2021-08-29,348.0,8,3,2021,34,5,300.0,140.0,235.0,211.25,71.22441060951697,221.875,130.35494127298819,1021.0833333333334,1873.4553132130109,0.15999999999999992
2021-09-05,35.0,9,3,2021,35,1,348.0,300.0,170.0,239.5,100.27129865190575,212.875,116.46757672661481,1030.0833333333333,1869.6173871256183,-0.8994252873563219
